x,y,z,phi,alpha,beta,phi_dot,phi_dot_dot,alpha_dot,alpha_dot_dot,beta_dot,beta_dot_dot
0.5,0.5,0.0,-0.6742994492376435,2.3679503464282217,0.35898806043533743,-10.114746667175826,26.620275247391906,1.991271744281947,29.869828993170135,-0.9447948914359023,-14.172280564844554
0.5,0.5,0.0,-0.7750424488148915,2.3593810439823577,0.34872832408423055,-9.825671220104926,30.597449455418104,2.28877560361208,29.016161130370076,-1.0859509778840293,-13.76724240866495
0.5,0.5,0.0,-0.8726646259971651,2.347566118084562,0.3370643818535254,-9.49703126294009,34.45141853366648,2.577063371395556,28.045655427771273,-1.2227343230238485,-13.306768426368071
0.5,0.5,0.0,-0.96677289073209,2.331226865373571,0.3240432003218694,-9.130150112797406,38.16666390889326,2.8549742145408796,26.962219769304166,-1.3545941486013109,-12.79271278415921
0.5,0.5,0.0,-1.056988302252504,2.308621748248152,0.30971721119154566,-8.726505070580075,41.72822559924513,3.1213890841696057,25.770216767973533,-1.480999501637919,-12.227145402676804
0.5,0.5,0.0,-1.142947594937182,2.2774489531925877,0.29414410016451337,-8.287721472409107,45.121762452826026,3.375235221631207,24.474446199155704,-1.6014413923909767,-11.612343622152599
0.5,0.5,0.0,-1.2243046410532803,2.2348085582265274,0.2773865746624457,-7.815566144968396,48.33360989445432,3.6154904781235415,23.080125673597145,-1.7154348438756375,-10.950783032366305
0.5,0.5,0.0,-1.3007318444905505,2.1773206415175337,0.25951211132607566,-7.311940291117272,51.350834948084064,3.841187430525306,21.59286962793756,-1.8225208446960492,-10.245127504319312
0.5,0.5,0.0,-1.3719214598752572,2.1015421212259615,0.2405926843105779,-6.778871834417577,54.1612883133351,4.0514172768675145,20.018666717355043,-1.922268197322246,-9.498218463766328
0.5,0.5,0.0,-1.4375868317521767,2.0048212331122173,0.22070447547105024,-6.218507253401256,56.753653286437554,4.245333495758261,18.363855701365416,-2.0142752543704083,-8.713063449796781
0.5,0.5,0.0,-1.4974635488449441,1.88657774092127,0.19992756760507016,-5.63310293845888,59.1174913286038,4.422155255025591,16.635099919874843,-2.0981715358951205,-7.8928240045363625
0.5,0.5,0.0,-1.5513105087469417,1.7496310952636354,0.17834562198753365,-5.02501610615191,61.24328409833994,4.581170555853074,14.839360462261794,-2.173619221181352,-7.040802942732724
0.5,0.5,0.0,-1.5989108887555932,1.6007764613499198,0.15604554149622915,-4.396695307533585,63.12247177844759,4.72173909974774,12.983868137527011,-2.240314509029247,-6.160431052486221
0.5,0.5,0.0,-1.6400730189408608,1.449824453533551,0.13311712068462087,-3.750670568698034,64.74748754338651,4.843294866796115,11.076094358377762,-2.2979888410543268,-5.255253280677109
0.5,0.5,0.0,-1.6746311539324057,1.3071552726641351,0.10965268421087403,-3.0895432032581467,66.11178802821048,4.945348394826645,9.123721056485826,-2.3464099830773226,-4.328914458715615
0.5,0.5,0.0,-1.702446140317696,1.1809666721656764,0.08574671507904144,-2.4159753377737556,67.20987967638848,5.027488750301109,7.134609750059901,-2.3853829602492493,-3.3851446260922504
0.5,0.5,0.0,-1.7234059769636834,1.0756523557933746,0.06149547418935437,-1.732679192307591,68.0373408604179,5.089385182998938,5.116769888286539,-2.414750842146304,-2.4277440108253154
0.5,0.5,0.0,-1.7374262660058388,0.9918367181924236,0.036996612729551515,-1.0424061592723377,68.5908396861579,5.130788457831616,3.0783266001051244,-2.434395374673298,-1.4605677272839206
0.5,0.5,0.0,-1.7444505526885632,0.9275169911706138,0.01234877896801034,-0.3479357245444433,68.86814740919122,5.151531858424422,1.027487977181249,-2.4442374562311615,-0.4875102530030182
